Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 12/26  12:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,445004941.6594702,445004941.6594702,119933734.63297907,0.0,353046086.5820399,0.0 
 12/26  13:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,410993314.64200088,410993314.64200088,99506748.86393269,0.0,326067334.17633017,0.0 
 12/26  14:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,374907945.67985096,374907945.67985096,81018846.98448153,435369.9915685596,297452774.92593947,0.0 
 12/26  15:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,363621379.435021,363621379.435021,73100869.58896663,1479818.467097952,288505941.41951456,0.0 
 12/26  16:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,346092584.2211423,346092584.2211423,60595857.79133467,2941840.8286057787,274607047.2198937,0.0 
 12/26  17:00:00,383633675.5210949,0.0,0.0,260526206.68848003,40497000.0,29122315.948799999,53488152.88381505,350353056.3333383,350353056.3333383,63825182.49564816,2850967.062846679,277990712.1906676,0.0 
 12/26  18:00:00,391733075.5210949,0.0,0.0,260526206.68848003,48596400.0,29122315.948799999,53488152.88381505,365360356.2384285,365360356.2384285,74804926.65861641,1988293.7309872248,289898104.5767673,0.0 
 12/26  19:00:00,301655193.7417351,0.0,0.0,173684137.79232,48596400.0,25886503.0656,53488152.88381505,394791732.4430023,394791732.4430023,96068172.03223813,0.0,313213149.7626069,0.0 
 12/26  20:00:00,301655193.7417351,0.0,0.0,173684137.79232,48596400.0,25886503.0656,53488152.88381505,423426158.03279307,423426158.03279307,118753077.37943758,0.0,335922721.01563718,0.0 
 12/26  21:00:00,269472024.559815,0.0,0.0,144736781.4936,48596400.0,22650690.1824,53488152.88381505,447704299.69830456,447704299.69830456,134033865.72032345,0.0,355171188.9294249,0.0 
