Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 11/02  21:00:00,3168763716.867323,0.0,457064589.7835966,807419778.5046485,221742000.0,897133087.2273873,263999472.52747248,120498881.29917348,236571534.62087638,164334372.9041696,442202784.689505,426491838.40857496,15710946.280930002,3271310918.2488586,0.0,2678704400.7176125,9360053.549619025,319258607.69374176,2273141040.3759076 
 11/02  22:00:00,1384596537.6686035,0.0,0.0,269139926.16821607,221742000.0,717706469.7819098,175999648.3516483,0.0,8493.36682953092,0.0,7882747.732311982,0.0,7882747.732311982,0.0,0.0,0.0,5850034.902180806,0.0,0.0 
 11/02  23:00:00,1162026750.5656832,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,87999824.17582415,0.0,8493.523841012991,0.0,7883090.955543795,0.0,7883090.955543795,0.0,0.0,0.0,5850034.459130006,0.0,0.0 
 11/02  24:00:00,1118026839.2539883,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8494.300058304583,0.0,7883434.648893881,0.0,7883434.648893881,0.0,0.0,0.0,5850034.451104787,0.0,0.0 
 11/03  01:00:00,1118026847.2548969,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8502.300966934286,0.0,7882737.259084834,0.0,7882737.259084834,0.0,0.0,0.0,5871791.501493544,0.0,0.0 
 11/03  02:00:00,1118026847.0708092,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8502.11687933839,0.0,7883108.143994489,0.0,7883108.143994489,0.0,0.0,0.0,5871791.557273903,0.0,0.0 
 11/03  03:00:00,1118026848.1015568,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,43999912.087912078,0.0,8503.147626712238,0.0,7883474.568240341,0.0,7883474.568240341,0.0,0.0,0.0,5871791.571724514,0.0,0.0 
 11/03  04:00:00,1162026758.4730643,0.0,0.0,134569963.08410803,221742000.0,717706469.7819098,87999824.17582415,0.0,8501.431222088977,0.0,7882738.796804955,0.0,7882738.796804955,0.0,0.0,0.0,5871791.558321494,0.0,0.0 
 11/03  05:00:00,1384601651.8412648,0.0,0.0,269139926.16821607,221742000.0,717706469.7819098,175999648.3516483,0.0,13607.539490821602,0.0,15711319.437723555,0.0,15711319.437723555,0.0,0.0,0.0,9394865.419392463,0.0,0.0 
 11/03  06:00:00,2469730019.703291,0.0,400768662.85912176,269139926.16821607,221742000.0,717706469.7819098,351999296.7032966,124529023.6678412,219510267.6187364,164334372.9041696,742325849.0494462,734436402.8071096,7889446.242336584,3226999633.2862689,38665736.81838041,2499727107.6626808,8220507.6880100299,548412171.1649411,1522963298.7351859 
 11/03  07:00:00,2990442205.8393247,0.0,406732505.05888739,807419778.5046485,110871000.0,717706469.7819098,439999120.8791207,120498881.29917348,222880077.4114153,164334372.9041696,783211164.5985538,751732346.3161851,31478818.28236866,3230923345.1658794,16159220.235608396,2364957339.595551,22312787.693093566,569877809.0865344,1635279699.2645565 
 11/03  08:00:00,5414025722.902081,0.0,422105448.05988588,2422259335.513945,0.0,1614839557.0092962,439999120.8791207,120498881.29917348,229989007.2364919,164334372.9041696,326972921.8099876,279500612.9927586,47472308.81722905,3242315110.01917,19235090.29178751,2856154307.112607,41102542.704882267,224108942.66374213,1964885800.8931275 
 11/03  09:00:00,5340242001.494982,0.0,469717287.51535388,2422259335.513945,0.0,1614839557.0092962,307999384.6153846,120498881.29917348,240593182.63765917,164334372.9041696,218468818.29568527,163026056.9662989,55442761.32938635,3281993693.5890939,15543116.694164806,3012708584.035927,44625614.816220547,135398091.40035857,2458104950.8967168 
 11/03  10:00:00,5303693177.123855,0.0,592482156.39281,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,257279137.7407248,164334372.9041696,149878271.20749779,86503011.14319359,63375260.064304199,3921247893.047044,10431267.461709265,3116087759.7154967,45799970.780247967,74140090.83038987,3263428541.3331668 
 11/03  11:00:00,5437365212.326822,0.0,714280802.6494579,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,120498881.29917348,269152526.6870446,164334372.9041696,102691771.6353358,31182842.015786988,71508929.61954884,4642589761.973273,5889649.369208549,3204315657.267316,55194748.52664927,27439825.80700734,3849644454.3534605 
 11/03  12:00:00,5357427819.395934,0.0,806926573.2765493,2422259335.513945,0.0,1435412939.5638197,131999736.26373624,120498881.29917348,275995980.57454386,164334372.9041696,102336115.53186707,22573077.374446017,79763038.15742105,5260149634.55829,774388.6427829216,3218903479.983241,66938116.26217542,20085815.797399705,4306247177.123522 
 11/03  13:00:00,5606685772.496428,0.0,873347215.2392624,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,123756785.22115647,276148770.3448626,164334372.9041696,82545107.58330266,2883814.229892968,79661293.35340971,5799941497.831479,0.0,3380116499.4295647,63415028.25379398,2567313.022652885,4623655451.153487 
 11/03  14:00:00,5609232380.898331,0.0,873478478.8902698,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,125925307.16876927,276395593.14814528,164334372.9041696,56256293.36912901,898028.1399529614,55358265.229176048,5819237452.784877,0.0,3455829049.9524,39928181.41575564,848083.6391803952,4667394925.22903 
