Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/17  10:00:00,522093795.17140868,0.0,117887956.30646144,173690957.55979295,0.0,216461331.18616648,14023165.780164257,30384.338823529408,3974945.963289779,0.0,3974945.963289779,27596073.35424316,329968831.42943659,4375351.315978434,0.0,505701043.9664049 
 08/17  11:00:00,537514939.7009596,0.0,124905502.49479456,173690957.55979295,0.0,223397067.4499028,15491027.857645655,30384.338823529408,7879853.625999631,0.0,7879853.625999631,19784748.268637726,356825533.47551706,5272859.278230418,0.0,523326879.52237287 
 08/17  12:00:00,532698197.71153047,0.0,121350489.70717873,173690957.55979295,0.0,221437412.82482205,16188953.280913104,30384.338823529408,7882851.065989986,0.0,7882851.065989986,11537736.544909522,364854199.1876485,6394744.231045402,0.0,489179698.1754503 
 08/17  13:00:00,548824594.7006406,0.0,127168824.17713341,173690957.55979295,0.0,229176847.66968299,18757580.95520756,30384.338823529408,11786974.248107871,0.0,11786974.248107871,4572417.047087572,408108245.75516179,6058178.745200908,0.0,497721882.204533 
 08/17  14:00:00,534495590.7456831,0.0,125683299.58153777,173690957.55979295,0.0,216461331.18616648,18629618.07936231,30384.338823529408,3974225.880927558,0.0,3974225.880927558,4467732.413782718,415291292.7017562,3814408.8395709425,0.0,492519508.59626677 
 08/17  15:00:00,534521973.84442189,0.0,125062533.28717488,173690957.55979295,0.0,216461331.18616648,19276767.47246397,30384.338823529408,3973982.2516064245,0.0,3973982.2516064245,3789647.4247319998,429593997.7760692,3702220.3442894436,0.0,496906518.4545031 
 08/17  16:00:00,544774683.4790819,0.0,123554893.68400371,173690957.55979295,0.0,226864935.58177094,20633512.314690684,30384.338823529408,7879131.2831133869,0.0,7879131.2831133869,1761377.1652253024,448342638.50790086,4936293.792385926,0.0,493056720.741445 
 08/17  17:00:00,491852584.0643305,0.0,112025668.67532087,135092966.9909501,0.0,226061237.00064618,18642327.05858949,30384.338823529408,3973167.257496799,0.0,3973167.257496799,0.0,423814688.857569,2916900.8773189557,0.0,447664144.11788019 
 08/17  18:00:00,329310943.29272016,0.0,90678215.45147582,96494976.4221072,0.0,129665444.23400118,12441922.846312445,30384.338823529408,3972602.49437238,0.0,3972602.49437238,0.0,317563018.61565616,2355958.400911464,0.0,368544555.42774388 
 08/17  19:00:00,331112298.977622,0.0,84349289.62945146,96494976.4221072,17764800.0,120417795.88235286,12055052.704886968,30384.338823529408,3971891.205172773,0.0,3971891.205172773,0.0,299577704.59866228,1682827.4292224749,0.0,349921129.7530066 
 08/17  20:00:00,301166993.78553298,0.0,76999731.2166296,57896985.85326433,53294400.0,101118800.5979314,11826691.77888405,30384.338823529408,3971931.2024116457,0.0,3971931.2024116457,0.0,291961183.45431706,1907204.4197854712,0.0,327903217.3092522 
 08/17  21:00:00,290452113.2015331,413098.3406777326,70495576.46777621,57896985.85326433,53294400.0,96494976.4221072,11826691.77888405,30384.338823529408,3970841.8913608437,0.0,3970841.8913608437,0.0,282338660.7934338,897507.9622519864,413098.3406777326,303924484.9447664 
 08/17  22:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.33882352941,72000.0,0.0,72000.0,6432998.42814048,0.0,560942.4764074913,0.0,0.0 
 08/17  23:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,4503098.899698336,0.0,560942.4764074913,0.0,0.0 
 08/17  24:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970703.4991003705,0.0,3970703.4991003705,3859799.056884288,0.0,560942.4764074914,0.0,0.0 
 08/18  01:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,561048.3600108961,0.0,0.0 
 08/18  02:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970533.76934145,0.0,3970533.76934145,3859799.056884288,0.0,561048.360010896,0.0,0.0 
 08/18  03:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,561048.360010896,0.0,0.0 
 08/18  04:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,561048.3600108961,0.0,0.0 
 08/18  05:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.338823529408,3970919.7049184439,0.0,3970919.7049184439,7076298.270954527,0.0,897677.3760174339,0.0,0.0 
 08/18  06:00:00,139859574.62934379,11084896.983394148,19847447.963418805,19298995.284421438,0.0,77195981.13768575,12401868.921600119,30384.33882352941,72000.0,0.0,72000.0,7118117.896725057,262826741.26364095,785467.7040152545,11084896.983394148,82260044.34624958 
