Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/18  13:00:00,207317261.81338469,0.0,986700.1920189096,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,112732218.28553017,0.0,5318415.142442208 
 06/18  14:00:00,208000842.48840017,0.0,1670280.8670344549,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,97092811.06858139,0.0,8819647.830927208 
 06/18  15:00:00,209144027.53989289,0.0,2813465.9185271637,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,85205708.86346878,0.0,14426588.52413394 
 06/18  16:00:00,209834423.0831499,0.0,3503861.4617841776,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,76935965.58135039,0.0,17578751.279427966 
 06/18  17:00:00,209243117.57151378,0.0,2912555.9501480369,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,76389821.09091719,0.0,14500807.470744148 
 06/18  18:00:00,162288275.25040735,0.0,1524715.2094416067,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,83355412.91439145,0.0,7683367.406680939 
 06/18  19:00:00,161342499.56750787,0.0,578939.5265420997,82517173.07255998,0.0,34467320.35296,43779066.615445729,0.0,0.0,0.0,96241112.74432014,0.0,2978764.3454596248 
 06/18  20:00:00,162540682.81808577,0.0,0.0,68764310.8938,19838400.0,30158905.30883999,43779066.615445729,0.0,0.0,0.0,114076403.37149126,0.0,0.0 
 06/18  21:00:00,74496984.534,0.0,0.0,27505724.357519997,29757600.0,17233660.17648,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  22:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  23:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  24:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/19  01:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/19  02:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/19  03:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
